date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:18	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dcf51763fb4a654e15a4e6e7754ca5d2%22	https://static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	(from https://www.kpssplatin.xyz/)
19:55:18	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20May%202022%2016:55:17%20GMT	https://www.kpssplatin.xyz/b604fd33.min.css	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/www.kpssplatin.xyz/b604fd33.min.f.delayed	(from https://www.kpssplatin.xyz/)
19:55:19	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20May%202022%2016:55:18%20GMT	https://www.kpssplatin.xyz/5b26625f.min.css	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/www.kpssplatin.xyz/5b26625f.min.10.delayed	(from https://www.kpssplatin.xyz/)
19:55:19	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20May%202022%2016:55:18%20GMT	https://www.kpssplatin.xyz/aae8f9e8.min.css	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/www.kpssplatin.xyz/aae8f9e8.min.11.delayed	(from https://www.kpssplatin.xyz/)
19:55:19	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20May%202022%2016:55:19%20GMT	https://www.kpssplatin.xyz/9a0ae350.chunk.min.js	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/www.kpssplatin.xyz/9a0ae350.chunk.min.12.delayed	(from https://www.kpssplatin.xyz/)
19:55:20	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20May%202022%2016:55:19%20GMT	https://www.kpssplatin.xyz/rb_wixui.thunderbolt~bootstrap-classic.8c7d9b7b.chunk.min.js	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/www.kpssplatin.xyz/rb_wixui.thunderbolt_bootstrap-classic.8c7d9b7b.chunk.min.13.delayed	(from https://www.kpssplatin.xyz/)
19:55:20	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20May%202022%2016:55:20%20GMT	https://www.kpssplatin.xyz/rb_wixui.thunderbolt~bootstrap.5641211f.chunk.min.css	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/www.kpssplatin.xyz/rb_wixui.thunderbolt_bootstrap.5641211f.chunk.min.14.delayed	(from https://www.kpssplatin.xyz/)
19:55:21	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20May%202022%2016:55:20%20GMT	https://www.kpssplatin.xyz/rb_wixui.thunderbolt~bootstrap.9a0ae350.chunk.min.js	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/www.kpssplatin.xyz/rb_wixui.thunderbolt_bootstrap.9a0ae350.chunk.min.15.delayed	(from https://www.kpssplatin.xyz/)
19:55:21	9713/9713	---M--	200	added ('OK')	image/png	etag:%22CPPBm5K+9fcCEAE=%22	https://static.wixstatic.com/media/c781f7_3f10ea46c97d45e5bda470debb0a15c2~mv2.png/v1/fill/w_199,h_52,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/google%20play.png	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/static.wixstatic.com/media/c781f7_3f10ea46c97d45e5bda470debb0a15c2_mv2.png/v1/fill/w_199,h_52,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/google%20play.png	(from https://www.kpssplatin.xyz/)
19:55:22	13023/13023	---M--	200	added ('OK')	image/png	etag:%22421460e557994cef1a79f1e26fa113dd%22	https://static.wixstatic.com/media/c781f7_9cac0e7f476b4d9eacda9dac406c3464~mv2.png/v1/fill/w_114,h_114,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/dart%20adam.png	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/static.wixstatic.com/media/c781f7_9cac0e7f476b4d9eacda9dac406c3464_mv2.png/v1/fill/w_114,h_114,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/dart%20adam.png	(from https://www.kpssplatin.xyz/)
